,a,b,e,c,d
0,-4,0,-2,-4,1
1,-4,0,-2,-4,1
2,-4,0,-2,-4,1
3,-4,0,-2,-4,1
4,-4,0,-2,-4,1
5,-4,0,-2,-4,1
6,-4,0,-2,-4,1
7,-4,0,-2,-4,1
8,-4,0,-2,-4,1
9,-4,0,-2,-4,1
10,-4,0,-2,-4,1
11,-4,0,-2,-4,1
12,-4,0,-2,-4,1
13,-4,0,-2,-4,1
14,-4,0,-2,-4,1
15,-4,0,-2,-4,1
16,-4,0,-2,-4,1
17,-4,0,-2,-4,1
18,-4,0,-2,-4,1
19,-4,0,-2,-4,1
20,-4,0,-2,-4,1
21,-4,0,-2,-4,1
22,-4,0,-2,-4,1
23,-4,0,-2,-4,1
24,-4,0,-2,-4,1
25,-4,0,-2,-4,1
26,-4,0,-2,-4,1
27,-4,0,-2,-4,1
28,-4,0,-2,-4,1
29,-4,0,-2,-4,1
30,-4,0,-2,-4,1
31,-4,0,-2,-4,1
32,-4,0,-2,-4,1
33,-4,0,-2,-4,1
34,-4,0,-2,-4,1
35,-4,0,-2,-4,1
36,-4,0,-2,-4,1
37,-4,0,-2,-4,1
38,-4,0,-2,-4,1
39,-4,0,-2,-4,1
40,-4,0,-2,-4,1
41,-4,0,-2,-4,1
42,-4,0,-2,-4,1
43,-4,0,-2,-4,1
44,-4,0,-2,-4,1
45,-4,0,-2,-4,1
46,-4,0,-2,-4,1
47,-4,0,-2,-4,1
48,-4,0,-2,-4,1
49,-4,0,-2,-4,1
50,-4,0,-2,-4,1
51,-4,0,-2,-4,1
52,-4,0,-2,-4,1
53,-4,0,-2,-4,1
54,-4,0,-2,-4,1
55,-4,0,-2,-4,1
56,-4,0,-2,-4,1
57,-4,0,-2,-4,1
58,-4,0,-2,-4,1
59,-4,0,-2,-4,1
60,5,0,2,5,1
61,5,0,2,5,1
62,5,0,2,5,1
63,5,0,2,5,1
64,5,0,2,5,1
65,5,0,2,5,1
66,5,0,2,5,1
67,5,0,2,5,1
68,5,0,2,5,1
69,5,0,2,5,1
70,5,0,2,5,1
71,5,0,2,5,1
72,5,0,2,5,1
73,5,0,2,5,1
74,5,0,2,5,1
75,5,0,2,5,1
76,5,0,2,5,1
